Player,Position,Age,Minutes,Goals,Assists,PK,PKatt,Shots,SoT,CrdY,CrdR,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,SCA,GCA,Passes_Completed,Passes_Attempted,Pass_Accuracy,Prog_Passes,Carries,Prog_Carries,Take_Ons_Att,Take_Ons_Succ,SofaScore_Rating
Marcus Thuram,Forward,27,120,0,0,0,0,1,0,0,0,39,1,1,2,0.0,0.0,0.0,2,1,18,26,69.2,2,17,4,3,2,7.1
Lautaro Martínez,Forward,27,70,1,0,0,0,1,1,0,0,17,1,1,0,0.7,0.7,0.0,1,1,3,9,33.3,0,9,2,0,0,7.5
Mehdi Taremi,Forward,32,50,0,1,0,0,0,0,0,0,25,4,1,1,0.0,0.0,0.1,1,1,11,14,78.6,3,13,2,1,1,7.3
Henrikh Mkhitaryan,Midfielder,36,78,0,0,0,0,1,0,1,0,35,5,1,1,0.0,0.0,0.0,2,1,17,21,81.0,1,9,1,3,2,6.8
Davide Frattesi,Midfielder,25,42,1,0,0,0,3,2,0,0,16,1,0,0,0.4,0.4,0.0,0,0,4,8,50.0,0,8,0,1,1,7.3
Hakan Çalhanoğlu,Midfielder,31,78,1,0,1,1,2,0,1,0,39,0,2,1,0.9,0.1,0.0,1,0,21,32,65.6,1,22,0,0,0,6.8
Piotr Zieliński,Midfielder,30,42,0,0,0,0,0,0,0,0,21,2,0,2,0.0,0.0,0.0,1,0,10,12,83.3,3,10,0,1,0,6.6
Nicolò Barella,Midfielder,28,120,0,0,0,0,3,2,0,0,48,3,0,4,0.1,0.1,0.0,2,0,14,32,43.8,1,24,1,2,1,6.7
Federico Dimarco,Defender,27,54,0,0,0,0,0,0,0,0,21,2,1,0,0.0,0.0,0.0,2,1,11,15,73.3,1,12,0,0,0,6.9
Carlos Augusto,Defender,26,66,0,0,0,0,0,0,1,0,20,2,0,0,0.0,0.0,0.0,1,0,14,18,77.8,1,7,2,1,1,6.4
Denzel Dumfries,Defender,29,107,0,2,0,0,0,0,0,0,50,2,1,1,0.0,0.0,1.0,4,2,18,37,48.6,3,15,3,5,2,8.0
Stefan de Vrij,Defender,33,13,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,6.0
Alessandro Bastoni,Defender,26,120,0,0,0,0,0,0,1,0,64,3,4,0,0.0,0.0,0.0,3,0,33,48,68.8,3,25,1,0,0,6.4
Francesco Acerbi,Defender,37,120,1,0,0,0,1,1,1,0,46,2,2,2,0.2,0.2,0.0,0,0,17,25,68.0,0,11,0,0,0,7.3
Yann Aurel Bisseck,Defender,24,70,0,0,0,0,0,0,0,0,21,2,0,0,0.0,0.0,0.0,0,0,11,13,84.6,0,9,1,0,0,6.5
Matteo Darmian,Defender,35,50,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,7,11,63.6,1,5,1,0,0,6.4
Ferrán Torres,Forward,25,89,0,0,0,0,1,0,0,0,13,0,0,0,0.2,0.2,0.0,1,0,6,9,66.7,0,7,0,1,0,6.4
Robert Lewandowski,Forward,36,31,0,0,0,0,2,0,0,0,15,0,0,0,0.5,0.5,0.0,2,0,7,11,63.6,3,4,0,0,0,6.5
Raphinha,Forward,28,120,1,0,0,0,2,2,0,0,74,3,0,1,0.2,0.2,0.1,9,1,45,63,71.4,4,37,3,2,1,7.8
Lamine Yamal,Forward,17,120,0,0,0,0,9,5,0,0,100,2,0,1,0.4,0.4,0.1,4,0,50,73,68.5,8,80,16,20,14,8.7
Dani Olmo,Midfielder,26,82,1,0,0,0,4,1,0,0,49,3,1,0,0.8,0.8,0.1,3,0,28,36,77.8,4,26,3,2,0,7.5
Fermin López,Midfielder,21,38,0,0,0,0,0,0,0,0,28,2,0,0,0.0,0.0,0.0,3,0,18,24,75.0,0,16,0,1,0,6.4
Pedri,Midfielder,22,104,0,0,0,0,1,0,0,0,110,4,3,2,0.0,0.0,0.2,10,1,84,97,86.6,11,72,5,3,3,7.6
